"couple"	"ppnr"	"beepnr"	"DayESM"	"happy"	"relaxed"	"enact_respons"	"together_0"	"together_1"
41	41	19	14	NA	NA	NA	NA	NA
41	41	20	14	NA	NA	NA	NA	NA
41	41	21	14	NA	NA	NA	NA	NA
41	41	22	14	NA	NA	NA	NA	NA
41	41	23	14	44	38	67	NA	1
41	41	24	14	54	52	77	NA	1
41	41	25	14	64	68	100	NA	1
41	41	26	14	71	64	100	NA	1
41	41	27	14	64	67	100	1	NA
41	41	28	14	41	64	100	1	NA
41	41	29	14	31	28	100	1	NA
41	41	30	15	NA	NA	NA	NA	NA
41	41	31	15	NA	NA	NA	NA	NA
41	41	32	15	NA	NA	NA	NA	NA
41	41	33	15	NA	NA	NA	NA	NA
41	41	34	15	NA	NA	NA	NA	NA
41	41	35	15	NA	NA	NA	NA	NA
41	41	36	15	29	66	100	1	NA
41	41	37	15	33	42	100	1	NA
41	41	38	15	47	55	100	1	NA
41	41	39	15	58	62	100	1	NA
41	41	40	15	76	72	100	1	NA
41	41	41	15	50	76	0	1	NA
41	41	42	15	44	49	100	1	NA
41	41	43	15	29	26	100	1	NA
41	41	44	16	87	70	100	NA	1
41	41	45	16	68	76	100	NA	1
41	41	46	16	58	69	100	NA	1
41	41	47	16	76	66	100	NA	1
41	41	48	16	49	53	100	NA	1
41	41	49	16	59	63	100	NA	1
41	41	50	17	56	81	85	NA	1
41	41	51	17	34	55	100	NA	1
41	41	52	17	34	36	100	1	NA
41	41	53	17	63	44	100	NA	1
41	41	54	17	NA	NA	NA	NA	NA
41	41	55	17	67	71	100	NA	1
41	41	56	18	50	49	100	1	NA
41	41	57	18	61	65	100	1	NA
41	41	58	18	63	60	100	1	NA
41	41	59	18	58	56	100	1	NA
41	41	60	18	52	52	100	1	NA
41	41	61	18	52	46	100	1	NA
42	42	1	13	88	31	85	NA	1
42	42	2	13	78	78	30	NA	1
42	42	3	13	72	88	13	NA	1
42	42	4	14	41	33	63	NA	1
42	42	5	14	50	30	47	NA	1
42	42	6	14	39	42	57	NA	1
42	42	7	14	51	61	71	NA	1
42	42	8	14	10	38	34	NA	1
42	42	9	14	NA	NA	NA	NA	NA
42	42	10	14	12	45	68	NA	1
42	42	11	14	44	74	62	NA	1
42	42	12	14	51	11	35	NA	1
42	42	13	14	71	60	48	NA	1
42	42	14	14	34	56	35	NA	1
42	42	15	14	33	48	27	NA	1
42	42	16	14	32	45	25	NA	1
42	42	17	14	49	60	47	NA	1
42	42	18	15	68	50	44	NA	1
42	42	19	15	36	37	36	NA	1
42	42	20	15	NA	NA	NA	NA	NA
42	42	21	15	NA	NA	NA	NA	NA
42	42	22	15	NA	NA	NA	NA	NA
42	42	23	15	NA	NA	NA	NA	NA
42	42	24	15	NA	NA	NA	NA	NA
42	42	25	15	88	51	45	NA	1
42	42	26	15	38	16	74	1	NA
42	42	27	15	62	59	65	1	NA
42	42	28	15	67	72	66	1	NA
42	42	29	15	46	47	46	1	NA
42	42	30	15	88	19	67	1	NA
42	42	31	15	71	61	47	NA	1
42	42	32	16	31	9	60	1	NA
42	42	33	16	10	53	64	1	NA
42	42	34	16	7	8	49	1	NA
42	42	35	16	6	7	44	1	NA
42	42	36	16	7	10	51	NA	1
42	42	37	16	8	8	47	1	NA
42	42	38	17	23	8	61	1	NA
42	42	39	17	34	52	67	1	NA
42	42	40	17	7	10	39	1	NA
42	42	41	17	53	71	36	1	NA
42	42	42	17	48	36	48	1	NA
42	42	43	17	11	10	47	1	NA
42	42	44	18	42	18	30	1	NA
42	42	45	18	NA	NA	NA	NA	NA
42	42	46	18	NA	NA	NA	NA	NA
42	42	47	18	52	40	31	1	NA
42	42	48	18	55	66	49	1	NA
42	42	49	18	47	58	37	1	NA
42	42	50	19	25	26	52	1	NA
42	42	51	19	12	41	69	1	NA
42	42	52	19	45	52	34	1	NA
42	42	53	19	59	46	55	1	NA
42	42	54	19	NA	NA	NA	NA	NA
42	42	55	19	NA	NA	NA	NA	NA
42	42	56	20	67	63	54	1	NA
42	42	57	20	58	59	60	1	NA
42	42	58	20	62	88	47	1	NA
42	42	59	20	59	55	49	1	NA
42	42	60	20	53	67	60	1	NA
42	42	61	20	51	56	37	1	NA
43	43	1	14	46	23	74	1	NA
43	43	2	14	55	24	77	NA	1
43	43	3	14	53	38	80	NA	1
43	43	4	14	63	81	73	1	NA
43	43	5	14	63	75	95	1	NA
43	43	6	14	58	48	65	NA	1
43	43	7	14	65	79	80	NA	1
43	43	8	14	58	78	80	1	NA
43	43	9	14	26	28	73	NA	1
43	43	10	14	58	62	74	1	NA
43	43	11	14	4	66	74	NA	1
43	43	12	14	56	66	73	NA	1
43	43	13	14	52	59	10	NA	1
43	43	14	14	58	62	63	NA	1
43	43	15	15	72	74	73	1	NA
43	43	16	15	NA	NA	NA	NA	NA
43	43	17	15	NA	NA	NA	NA	NA
43	43	18	15	63	72	81	1	NA
43	43	19	15	64	84	78	1	NA
43	43	20	15	66	68	62	1	NA
43	43	21	15	68	86	76	1	NA
43	43	22	15	63	73	73	1	NA
43	43	23	15	49	68	80	1	NA
43	43	24	15	74	64	70	NA	1
43	43	25	15	59	67	82	NA	1
43	43	26	15	76	77	90	NA	1
43	43	27	15	78	76	85	NA	1
43	43	28	15	74	73	86	NA	1
43	43	29	16	49	60	89	NA	1
43	43	30	16	64	3	80	NA	1
43	43	31	16	59	74	91	NA	1
43	43	32	16	76	77	82	NA	1
43	43	33	16	70	70	65	NA	1
43	43	34	16	78	72	92	NA	1
43	43	35	17	38	44	74	1	NA
43	43	36	17	68	75	73	1	NA
43	43	37	17	66	64	9	1	NA
43	43	38	17	52	38	77	1	NA
43	43	39	17	NA	NA	NA	NA	NA
43	43	40	17	NA	NA	NA	NA	NA
43	43	41	18	NA	NA	NA	NA	NA
43	43	42	18	NA	NA	NA	NA	NA
43	43	43	18	83	87	91	NA	1
43	43	44	18	78	74	85	NA	1
43	43	45	18	73	74	93	NA	1
43	43	46	18	79	80	85	NA	1
43	43	47	19	77	80	74	1	NA
43	43	48	19	79	75	83	1	NA
43	43	49	19	78	71	10	1	NA
43	43	50	19	76	78	86	1	NA
43	43	51	19	NA	NA	NA	NA	NA
43	43	52	19	80	76	89	1	NA
43	43	53	20	34	46	82	NA	1
43	43	54	20	44	47	95	NA	1
43	43	55	20	51	38	80	NA	1
43	43	56	20	68	70	86	NA	1
43	43	57	20	50	69	75	NA	1
43	43	58	20	56	78	82	1	NA
46	46	1	18	87	52	94	NA	1
46	46	2	18	56	22	95	NA	1
46	46	3	18	90	18	87	NA	1
46	46	4	18	9	8	87	NA	1
46	46	5	19	55	58	95	1	NA
46	46	6	19	83	70	89	1	NA
46	46	7	19	95	100	99	NA	1
46	46	8	19	83	88	90	NA	1
46	46	9	19	89	30	88	NA	1
46	46	10	19	90	88	96	NA	1
46	46	11	20	NA	NA	NA	NA	NA
46	46	12	20	89	87	97	1	NA
46	46	13	20	98	94	98	1	NA
46	46	14	20	71	100	100	1	NA
46	46	15	20	100	96	99	1	NA
46	46	16	20	64	96	98	1	NA
46	46	17	21	69	44	99	1	NA
46	46	18	21	95	91	96	1	NA
46	46	19	21	96	95	96	1	NA
46	46	20	21	67	98	100	1	NA
46	46	21	21	100	100	98	1	NA
46	46	22	21	98	100	95	1	NA
46	46	23	21	98	93	99	1	NA
46	46	24	21	99	93	100	1	NA
46	46	25	21	84	88	95	1	NA
46	46	26	21	NA	NA	NA	NA	NA
46	46	27	21	91	99	100	1	NA
46	46	28	21	90	95	96	1	NA
46	46	29	21	98	99	100	1	NA
46	46	30	21	90	100	79	1	NA
46	46	31	22	58	47	100	1	NA
46	46	32	22	54	52	100	1	NA
46	46	33	22	76	48	100	1	NA
46	46	34	22	47	47	92	1	NA
46	46	35	22	57	58	98	1	NA
46	46	36	22	31	28	96	1	NA
46	46	37	22	28	35	97	1	NA
46	46	38	22	100	98	100	1	NA
46	46	39	22	69	63	99	1	NA
46	46	40	22	78	66	97	1	NA
46	46	41	22	44	45	92	1	NA
46	46	42	22	26	32	100	1	NA
46	46	43	22	84	99	87	1	NA
46	46	44	22	91	97	94	NA	1
46	46	45	23	29	36	100	1	NA
46	46	46	23	66	68	98	1	NA
46	46	47	23	41	44	100	1	NA
46	46	48	23	23	24	99	1	NA
46	46	49	23	48	45	100	1	NA
46	46	50	23	49	56	99	1	NA
46	46	51	24	54	52	100	1	NA
46	46	52	24	56	45	100	1	NA
46	46	53	24	31	38	100	1	NA
46	46	54	24	52	51	96	1	NA
46	46	55	24	80	79	99	1	NA
46	46	56	24	56	51	100	1	NA
47	47	1	19	57	62	82	NA	1
47	47	2	19	72	85	78	1	NA
47	47	3	19	59	66	84	1	NA
47	47	4	19	63	53	63	1	NA
47	47	5	19	53	47	80	1	NA
47	47	6	19	64	82	80	1	NA
47	47	7	20	61	87	86	NA	1
47	47	8	20	41	42	61	NA	1
47	47	9	20	48	40	76	NA	1
47	47	10	20	46	44	87	1	NA
47	47	11	20	44	42	58	1	NA
47	47	12	20	55	33	100	1	NA
47	47	13	21	11	68	100	NA	1
47	47	14	21	56	23	85	NA	1
47	47	15	21	60	57	100	NA	1
47	47	16	21	57	60	100	NA	1
47	47	17	21	46	51	56	NA	1
47	47	18	21	56	56	85	1	NA
47	47	19	21	37	29	81	1	NA
47	47	20	21	54	47	100	1	NA
47	47	21	21	59	45	98	1	NA
47	47	22	21	70	57	70	NA	1
47	47	23	21	66	47	100	NA	1
47	47	24	21	100	100	100	NA	1
47	47	25	21	64	51	79	NA	1
47	47	26	21	69	58	100	NA	1
47	47	27	22	61	73	66	NA	1
47	47	28	22	38	46	60	NA	1
47	47	29	22	50	53	92	NA	1
47	47	30	22	55	56	86	NA	1
47	47	31	22	58	74	84	NA	1
47	47	32	22	78	56	63	NA	1
47	47	33	22	60	68	77	NA	1
47	47	34	22	NA	NA	NA	NA	NA
47	47	35	22	NA	NA	NA	NA	NA
47	47	36	22	61	49	100	NA	1
47	47	37	22	60	58	92	NA	1
47	47	38	22	59	55	98	NA	1
47	47	39	22	22	38	100	NA	1
47	47	40	22	61	54	87	NA	1
47	47	41	23	53	56	91	NA	1
47	47	42	23	42	43	59	NA	1
47	47	43	23	46	48	55	NA	1
47	47	44	23	49	47	70	NA	1
47	47	45	23	41	30	69	NA	1
47	47	46	23	54	43	69	NA	1
47	47	47	24	57	54	86	NA	1
47	47	48	24	56	49	99	NA	1
47	47	49	24	60	49	95	1	NA
47	47	50	24	54	52	61	1	NA
47	47	51	24	59	45	76	1	NA
47	47	52	24	53	46	67	1	NA
47	47	53	25	34	37	0	NA	1
47	47	54	25	47	21	60	NA	1
47	47	55	25	49	45	81	1	NA
47	47	56	25	NA	NA	NA	NA	NA
47	47	57	25	48	37	75	1	NA
47	47	58	25	46	41	66	1	NA
49	49	1	23	69	70	78	1	NA
49	49	2	23	NA	NA	NA	NA	NA
49	49	3	23	100	86	80	1	NA
49	49	4	23	76	79	78	1	NA
49	49	5	24	49	55	79	1	NA
49	49	6	24	52	49	70	1	NA
49	49	7	24	48	60	90	NA	1
49	49	8	24	51	64	90	NA	1
49	49	9	24	62	62	88	NA	1
49	49	10	24	51	60	87	NA	1
49	49	11	25	56	57	76	1	NA
49	49	12	25	88	88	90	1	NA
49	49	13	25	96	83	85	1	NA
49	49	14	25	91	90	85	1	NA
49	49	15	25	96	98	94	1	NA
49	49	16	25	88	91	99	1	NA
49	49	17	26	33	57	65	1	NA
49	49	18	26	58	64	76	NA	1
49	49	19	26	74	83	81	NA	1
49	49	20	26	66	76	82	NA	1
49	49	21	26	69	90	87	NA	1
49	49	22	26	79	88	80	NA	1
49	49	23	27	20	43	56	NA	1
49	49	24	27	42	48	57	NA	1
49	49	25	27	51	53	36	1	NA
49	49	26	27	49	72	62	NA	1
49	49	27	27	87	96	56	1	NA
49	49	28	27	64	77	82	NA	1
49	49	29	28	76	76	85	1	NA
49	49	30	28	90	81	83	1	NA
49	49	31	28	100	92	93	1	NA
49	49	32	28	84	100	68	1	NA
49	49	33	28	69	81	62	1	NA
49	49	34	28	79	84	56	1	NA
49	49	35	28	53	68	89	1	NA
49	49	36	28	72	86	80	1	NA
49	49	37	28	83	90	82	1	NA
49	49	38	28	62	85	73	1	NA
49	49	39	28	68	81	62	1	NA
49	49	40	28	88	99	84	1	NA
49	49	41	28	97	98	85	1	NA
49	49	42	28	90	95	83	1	NA
49	49	43	29	54	90	75	NA	1
49	49	44	29	62	100	86	1	NA
49	49	45	29	NA	NA	NA	NA	NA
49	49	46	29	44	84	84	1	NA
49	49	47	29	39	80	65	1	NA
49	49	48	29	86	81	67	1	NA
49	49	49	29	82	86	71	1	NA
49	49	50	29	84	88	68	1	NA
49	49	51	29	59	80	76	1	NA
49	49	52	29	75	93	65	1	NA
49	49	53	29	58	66	63	1	NA
49	49	54	29	85	90	72	1	NA
49	49	55	29	74	94	86	1	NA
49	49	56	29	55	100	80	1	NA
49	49	57	30	49	57	85	1	NA
49	49	58	30	50	58	81	1	NA
49	49	59	30	36	38	82	1	NA
49	49	60	30	49	60	78	1	NA
49	49	61	30	56	62	57	1	NA
49	49	62	30	69	93	85	1	NA
50	50	1	25	68	84	78	1	NA
50	50	2	25	75	62	74	NA	1
50	50	3	25	79	74	77	1	NA
50	50	4	25	84	83	79	1	NA
50	50	5	25	75	75	74	1	NA
50	50	6	26	80	84	73	NA	1
50	50	7	26	78	74	80	NA	1
50	50	8	26	59	60	86	NA	1
50	50	9	26	49	35	77	NA	1
50	50	10	26	48	46	70	NA	1
50	50	11	26	52	35	69	1	NA
50	50	12	27	86	83	86	NA	1
50	50	13	27	80	79	89	NA	1
50	50	14	27	72	71	87	NA	1
50	50	15	27	88	81	85	NA	1
50	50	16	27	100	89	100	1	NA
50	50	17	27	92	82	92	1	NA
50	50	18	28	73	78	82	1	NA
50	50	19	28	73	76	80	1	NA
50	50	20	28	78	71	77	1	NA
50	50	21	28	73	75	84	1	NA
50	50	22	28	74	77	77	1	NA
50	50	23	28	68	69	74	1	NA
50	50	24	28	77	69	77	1	NA
50	50	25	28	73	75	76	1	NA
50	50	26	28	62	64	71	1	NA
50	50	27	28	76	68	67	NA	1
50	50	28	28	69	68	85	NA	1
50	50	29	28	69	68	68	NA	1
50	50	30	28	71	74	76	NA	1
50	50	31	28	68	74	76	NA	1
50	50	32	29	58	58	62	NA	1
50	50	33	29	65	64	73	NA	1
50	50	34	29	63	59	72	NA	1
50	50	35	29	73	71	72	NA	1
50	50	36	29	74	78	74	NA	1
50	50	37	29	74	71	81	NA	1
50	50	38	29	56	60	67	NA	1
50	50	39	29	57	55	86	NA	1
50	50	40	29	84	81	82	NA	1
50	50	41	29	83	76	82	NA	1
50	50	42	29	88	74	81	NA	1
50	50	43	29	72	71	79	NA	1
50	50	44	29	71	68	85	NA	1
50	50	45	29	75	78	84	NA	1
50	50	46	30	69	64	85	NA	1
50	50	47	30	57	59	81	NA	1
50	50	48	30	59	65	76	1	NA
50	50	49	30	65	64	73	NA	1
50	50	50	30	72	64	87	1	NA
50	50	51	30	83	57	83	NA	1
50	50	52	31	62	64	84	NA	1
50	50	53	31	64	64	84	NA	1
50	50	54	31	62	61	83	NA	1
50	50	55	31	59	64	85	NA	1
50	50	56	31	65	59	83	1	NA
50	50	57	31	66	63	78	NA	1
50	50	58	1	65	61	84	NA	1
50	50	59	1	71	62	82	NA	1
50	50	60	1	69	72	80	NA	1
50	50	61	1	65	65	74	NA	1
50	50	62	1	81	91	74	1	NA
50	50	63	1	70	68	80	1	NA
51	51	1	25	NA	NA	NA	NA	NA
51	51	2	25	83	78	72	NA	1
51	51	3	25	53	53	72	NA	1
51	51	4	26	76	89	77	1	NA
51	51	5	26	36	28	78	1	NA
51	51	6	26	25	24	36	1	NA
51	51	7	26	60	49	79	1	NA
51	51	8	26	39	20	76	1	NA
51	51	9	26	83	80	69	NA	1
51	51	10	27	74	74	83	1	NA
51	51	11	27	23	32	85	1	NA
51	51	12	27	24	54	72	1	NA
51	51	13	27	75	84	77	1	NA
51	51	14	27	82	89	85	1	NA
51	51	15	27	56	86	75	1	NA
51	51	16	28	78	56	65	1	NA
51	51	17	28	25	10	5	1	NA
51	51	18	28	78	79	84	1	NA
51	51	19	28	64	69	61	1	NA
51	51	20	28	58	46	74	1	NA
51	51	21	28	55	60	78	1	NA
51	51	22	28	71	63	86	1	NA
51	51	23	28	47	50	82	1	NA
51	51	24	28	58	51	79	1	NA
51	51	25	28	72	74	57	1	NA
51	51	26	28	49	64	82	1	NA
51	51	27	28	72	66	74	1	NA
51	51	28	28	76	80	90	1	NA
51	51	29	28	64	6	72	1	NA
51	51	30	29	68	68	84	1	NA
51	51	31	29	68	74	73	1	NA
51	51	32	29	78	80	82	NA	1
51	51	33	29	74	65	86	NA	1
51	51	34	29	80	83	74	NA	1
51	51	35	29	NA	NA	NA	NA	NA
51	51	36	29	87	88	77	NA	1
51	51	37	29	61	98	87	NA	1
51	51	38	29	59	91	85	NA	1
51	51	39	29	NA	NA	NA	NA	NA
51	51	40	29	86	98	90	NA	1
51	51	41	29	85	92	82	NA	1
51	51	42	29	84	86	87	NA	1
51	51	43	29	99	99	88	NA	1
51	51	44	30	59	75	74	NA	1
51	51	45	30	54	56	57	NA	1
51	51	46	30	66	75	82	NA	1
51	51	47	30	46	64	76	NA	1
51	51	48	30	73	70	75	NA	1
51	51	49	30	31	62	85	NA	1
51	51	50	31	NA	NA	NA	NA	NA
51	51	51	31	NA	NA	NA	NA	NA
51	51	52	31	24	55	63	1	NA
51	51	53	31	45	87	90	NA	1
51	51	54	31	46	59	71	NA	1
51	51	55	31	76	85	86	NA	1
51	51	56	1	48	62	87	1	NA
51	51	57	1	76	74	80	1	NA
51	51	58	1	74	79	84	NA	1
51	51	59	1	58	63	79	NA	1
51	51	60	1	58	74	81	NA	1
51	51	61	1	35	35	67	NA	1
52	52	1	26	74	100	100	NA	1
52	52	2	26	100	100	100	NA	1
52	52	3	26	100	87	98	NA	1
52	52	4	26	100	100	100	NA	1
52	52	5	26	78	78	100	NA	1
52	52	6	27	63	92	100	1	NA
52	52	7	27	100	82	100	1	NA
52	52	8	27	100	100	100	1	NA
52	52	9	27	98	100	100	1	NA
52	52	10	27	100	100	100	NA	1
52	52	11	27	100	100	98	NA	1
52	52	12	28	100	100	100	NA	1
52	52	13	28	100	100	100	NA	1
52	52	14	28	100	100	100	NA	1
52	52	15	28	100	100	100	NA	1
52	52	16	28	100	100	100	NA	1
52	52	17	28	100	100	100	NA	1
52	52	18	28	91	100	100	NA	1
52	52	19	28	100	100	100	NA	1
52	52	20	28	77	0	100	1	NA
52	52	21	28	55	79	100	1	NA
52	52	22	28	79	50	100	1	NA
52	52	23	28	NA	NA	NA	NA	NA
52	52	24	28	NA	NA	NA	NA	NA
52	52	25	28	99	100	100	1	NA
52	52	26	29	44	87	84	NA	1
52	52	27	29	52	53	75	1	NA
52	52	28	29	40	45	78	1	NA
52	52	29	29	41	62	81	1	NA
52	52	30	29	41	40	70	1	NA
52	52	31	29	49	45	67	NA	1
52	52	32	29	57	79	100	NA	1
52	52	33	29	18	48	86	NA	1
52	52	34	29	NA	NA	NA	NA	NA
52	52	35	29	31	52	86	NA	1
52	52	36	29	49	34	100	1	NA
52	52	37	29	NA	NA	NA	NA	NA
52	52	38	29	73	100	100	1	NA
52	52	39	29	52	56	100	1	NA
52	52	40	30	100	100	100	1	NA
52	52	41	30	84	81	100	1	NA
52	52	42	30	68	72	84	NA	1
52	52	43	30	100	82	100	NA	1
52	52	44	30	75	92	100	NA	1
52	52	45	30	72	97	100	NA	1
52	52	46	31	39	35	100	1	NA
52	52	47	31	NA	NA	NA	NA	NA
52	52	48	31	27	22	100	1	NA
52	52	49	31	39	41	96	1	NA
52	52	50	31	0	23	96	1	NA
52	52	51	31	48	37	87	1	NA
52	52	52	1	64	54	100	1	NA
52	52	53	1	61	68	100	NA	1
52	52	54	1	72	58	100	NA	1
52	52	55	1	0	26	100	NA	1
52	52	56	1	78	69	100	NA	1
52	52	57	1	82	89	100	NA	1
52	52	58	2	NA	NA	NA	NA	NA
52	52	59	2	2	21	98	1	NA
52	52	60	2	72	0	100	1	NA
52	52	61	2	41	12	98	1	NA
52	52	62	2	38	65	100	1	NA
52	52	63	2	31	43	100	1	NA
53	53	1	26	67	58	73	NA	1
53	53	2	26	64	72	74	NA	1
53	53	3	26	70	80	72	NA	1
53	53	4	27	29	26	72	1	NA
53	53	5	27	31	22	82	1	NA
53	53	6	27	26	27	75	1	NA
53	53	7	27	23	26	74	NA	1
53	53	8	27	26	24	74	NA	1
53	53	9	27	30	54	74	NA	1
53	53	10	28	29	21	76	1	NA
53	53	11	28	33	37	76	1	NA
53	53	12	28	28	27	70	1	NA
53	53	13	28	49	55	75	1	NA
53	53	14	28	57	59	68	1	NA
53	53	15	28	32	29	74	1	NA
53	53	16	28	36	28	75	1	NA
53	53	17	28	46	46	69	1	NA
53	53	18	28	33	37	74	1	NA
53	53	19	28	44	44	75	1	NA
53	53	20	28	66	70	81	1	NA
53	53	21	28	60	71	67	1	NA
53	53	22	28	34	29	76	1	NA
53	53	23	28	23	35	71	1	NA
53	53	24	29	35	53	66	1	NA
53	53	25	29	34	27	68	1	NA
53	53	26	29	50	34	68	1	NA
53	53	27	29	47	47	71	1	NA
53	53	28	29	46	46	72	1	NA
53	53	29	29	74	67	75	NA	1
53	53	30	29	70	72	74	NA	1
53	53	31	29	76	73	79	NA	1
53	53	32	29	75	67	68	NA	1
53	53	33	29	73	72	76	NA	1
53	53	34	29	65	66	69	NA	1
53	53	35	29	72	69	72	NA	1
53	53	36	29	67	64	74	NA	1
53	53	37	29	73	70	75	NA	1
53	53	38	30	28	29	77	1	NA
53	53	39	30	20	22	76	1	NA
53	53	40	30	12	12	70	NA	1
53	53	41	30	34	33	64	NA	1
53	53	42	30	31	25	76	NA	1
53	53	43	30	29	27	73	1	NA
53	53	44	31	22	22	75	1	NA
53	53	45	31	33	34	72	1	NA
53	53	46	31	49	59	72	1	NA
53	53	47	31	58	54	67	1	NA
53	53	48	31	44	49	68	NA	1
53	53	49	31	29	32	71	1	NA
53	53	50	1	26	28	68	1	NA
53	53	51	1	28	30	68	1	NA
53	53	52	1	29	32	66	NA	1
53	53	53	1	27	31	71	NA	1
53	53	54	1	20	22	68	NA	1
53	53	55	1	26	21	68	NA	1
53	53	56	2	22	20	66	1	NA
53	53	57	2	25	21	68	1	NA
53	53	58	2	32	38	67	1	NA
53	53	59	2	22	39	72	1	NA
53	53	60	2	29	21	62	1	NA
53	53	61	2	20	19	68	1	NA
55	55	1	27	76	63	58	NA	1
55	55	2	27	58	66	48	NA	1
55	55	3	27	64	72	65	NA	1
55	55	4	27	71	70	58	NA	1
55	55	5	28	61	100	49	NA	1
55	55	6	28	46	49	52	NA	1
55	55	7	28	38	36	30	NA	1
55	55	8	28	47	41	31	NA	1
55	55	9	28	46	50	45	NA	1
55	55	10	28	51	50	48	NA	1
55	55	11	28	25	24	27	1	NA
55	55	12	28	60	35	47	1	NA
55	55	13	28	39	32	43	NA	1
55	55	14	28	39	35	44	NA	1
55	55	15	28	51	53	51	NA	1
55	55	16	28	56	54	62	NA	1
55	55	17	28	63	55	53	NA	1
55	55	18	28	55	61	50	NA	1
55	55	19	29	58	61	54	NA	1
55	55	20	29	34	45	43	1	NA
55	55	21	29	36	35	45	1	NA
55	55	22	29	44	60	42	NA	1
55	55	23	29	28	37	30	NA	1
55	55	24	29	30	48	38	1	NA
55	55	25	29	22	21	18	1	NA
55	55	26	29	18	24	14	1	NA
55	55	27	29	28	34	0	NA	1
55	55	28	29	35	37	48	1	NA
55	55	29	29	53	47	0	1	NA
55	55	30	29	48	50	48	NA	1
55	55	31	29	22	38	41	NA	1
55	55	32	29	33	35	34	1	NA
55	55	33	30	28	34	0	1	NA
55	55	34	30	35	30	46	NA	1
55	55	35	30	63	70	56	NA	1
55	55	36	30	58	59	50	NA	1
55	55	37	30	64	58	54	NA	1
55	55	38	30	48	41	41	NA	1
55	55	39	31	41	34	0	1	NA
55	55	40	31	55	66	0	NA	1
55	55	41	31	52	56	49	NA	1
55	55	42	31	69	57	59	NA	1
55	55	43	31	44	41	46	1	NA
55	55	44	31	39	35	37	1	NA
55	55	45	1	49	36	3	1	NA
55	55	46	1	33	29	38	1	NA
55	55	47	1	47	46	48	NA	1
55	55	48	1	50	50	42	NA	1
55	55	49	1	29	39	0	1	NA
55	55	50	1	32	28	0	1	NA
55	55	51	2	51	37	0	1	NA
55	55	52	2	36	38	25	1	NA
55	55	53	2	41	39	47	NA	1
55	55	54	2	46	53	46	NA	1
55	55	55	2	46	58	0	1	NA
55	55	56	2	39	34	34	NA	1
55	55	57	3	30	22	29	1	NA
55	55	58	3	27	30	0	1	NA
55	55	59	3	28	35	52	NA	1
55	55	60	3	34	27	35	NA	1
55	55	61	3	16	11	0	NA	1
55	55	62	3	0	0	33	1	NA
56	56	1	27	50	53	67	NA	1
56	56	2	27	79	85	77	NA	1
56	56	3	28	44	39	61	1	NA
56	56	4	28	47	26	68	1	NA
56	56	5	28	79	84	44	1	NA
56	56	6	28	68	72	56	1	NA
56	56	7	28	30	27	23	1	NA
56	56	8	28	NA	NA	NA	NA	NA
56	56	9	28	18	0	52	1	NA
56	56	10	28	23	25	44	1	NA
56	56	11	28	46	39	60	1	NA
56	56	12	28	24	30	63	1	NA
56	56	13	28	41	48	83	1	NA
56	56	14	28	33	57	88	1	NA
56	56	15	28	58	64	83	1	NA
56	56	16	28	53	76	76	1	NA
56	56	17	29	46	46	50	1	NA
56	56	18	29	0	32	82	1	NA
56	56	19	29	31	35	88	1	NA
56	56	20	29	36	33	83	1	NA
56	56	21	29	46	16	90	1	NA
56	56	22	29	51	27	88	1	NA
56	56	23	29	55	52	51	1	NA
56	56	24	29	20	19	52	1	NA
56	56	25	29	16	17	55	1	NA
56	56	26	29	13	13	86	NA	1
56	56	27	29	37	30	55	1	NA
56	56	28	29	51	51	74	NA	1
56	56	29	29	52	51	68	NA	1
56	56	30	29	51	60	66	NA	1
56	56	31	30	38	55	65	NA	1
56	56	32	30	50	41	90	NA	1
56	56	33	30	60	53	73	NA	1
56	56	34	30	30	34	62	NA	1
56	56	35	30	12	0	52	NA	1
56	56	36	30	58	58	69	NA	1
56	56	37	31	72	55	81	NA	1
56	56	38	31	77	53	69	NA	1
56	56	39	31	64	55	66	NA	1
56	56	40	31	62	54	74	NA	1
56	56	41	31	60	49	66	NA	1
56	56	42	31	57	48	73	NA	1
56	56	43	1	47	33	75	1	NA
56	56	44	1	49	62	72	NA	1
56	56	45	1	NA	NA	NA	NA	NA
56	56	46	1	90	94	53	1	NA
56	56	47	1	90	96	60	1	NA
56	56	48	1	100	100	82	1	NA
56	56	49	2	66	57	70	1	NA
56	56	50	2	78	75	100	NA	1
56	56	51	2	88	76	88	NA	1
56	56	52	2	97	93	80	NA	1
56	56	53	2	86	79	83	NA	1
56	56	54	2	98	76	78	NA	1
56	56	55	3	59	53	87	1	NA
56	56	56	3	70	63	73	1	NA
56	56	57	3	82	61	50	1	NA
56	56	58	3	53	37	60	1	NA
56	56	59	3	65	58	74	1	NA
56	56	60	3	62	68	58	1	NA
57	57	1	31	72	72	66	NA	1
57	57	2	31	51	35	61	NA	1
57	57	3	31	67	78	78	NA	1
57	57	4	31	55	73	82	NA	1
57	57	5	31	69	69	70	NA	1
57	57	6	31	42	55	70	NA	1
57	57	7	1	71	87	79	NA	1
57	57	8	1	67	86	74	1	NA
57	57	9	1	68	82	80	NA	1
57	57	10	1	68	77	77	NA	1
57	57	11	1	62	74	74	NA	1
57	57	12	1	74	71	76	NA	1
57	57	13	2	56	68	75	NA	1
57	57	14	2	56	74	81	NA	1
57	57	15	2	68	75	88	NA	1
