"couple"	"ppnr"	"beepnr"	"DayESM"	"happy"	"relaxed"	"enact_respons"	"together_0"	"together_1"
10	10	20	2	84	77	85	NA	1
10	10	21	2	84	2	80	NA	1
10	10	22	2	34	54	73	NA	1
10	10	23	2	53	21	82	NA	1
10	10	24	2	74	65	82	NA	1
10	10	25	2	54	63	83	NA	1
10	10	26	2	79	86	88	NA	1
10	10	27	2	61	61	92	NA	1
10	10	28	2	47	50	83	NA	1
10	10	29	2	90	90	93	NA	1
10	10	30	3	91	90	98	NA	1
10	10	31	3	92	93	93	NA	1
10	10	32	3	76	75	98	NA	1
10	10	33	3	79	89	94	NA	1
10	10	34	3	96	98	90	NA	1
10	10	35	3	97	96	93	NA	1
10	10	36	3	91	91	100	NA	1
10	10	37	3	NA	NA	NA	NA	NA
10	10	38	3	99	100	92	NA	1
10	10	39	3	82	64	100	NA	1
10	10	40	3	100	99	100	NA	1
10	10	41	3	79	91	100	NA	1
10	10	42	3	72	89	92	NA	1
10	10	43	3	100	100	100	NA	1
10	10	44	4	90	89	100	NA	1
10	10	45	4	NA	NA	NA	NA	NA
10	10	46	4	88	81	100	NA	1
10	10	47	4	82	100	100	1	NA
10	10	48	4	100	100	100	1	NA
10	10	49	4	100	100	100	1	NA
10	10	50	5	80	84	100	1	NA
10	10	51	5	58	48	100	1	NA
10	10	52	5	53	56	100	NA	1
10	10	53	5	NA	NA	NA	NA	NA
10	10	54	5	76	100	100	NA	1
10	10	55	5	100	100	100	NA	1
10	10	56	6	60	60	100	1	NA
10	10	57	6	76	76	100	1	NA
10	10	58	6	NA	NA	NA	NA	NA
10	10	59	6	NA	NA	NA	NA	NA
10	10	60	6	NA	NA	NA	NA	NA
10	10	61	6	NA	NA	NA	NA	NA
11	11	1	31	74	62	84	1	NA
11	11	2	31	49	27	42	NA	1
11	11	3	31	62	80	67	NA	1
11	11	4	31	75	89	51	NA	1
11	11	5	31	59	55	60	NA	1
11	11	6	31	71	75	50	NA	1
11	11	7	1	70	66	39	NA	1
11	11	8	1	88	91	46	NA	1
11	11	9	1	74	89	57	NA	1
11	11	10	1	64	71	38	NA	1
11	11	11	1	56	41	44	1	NA
11	11	12	1	58	75	36	NA	1
11	11	13	2	54	100	52	NA	1
11	11	14	2	12	68	65	NA	1
11	11	15	2	66	77	66	NA	1
11	11	16	2	63	71	55	NA	1
11	11	17	2	34	31	83	1	NA
11	11	18	2	14	8	60	1	NA
11	11	19	2	78	88	78	1	NA
11	11	20	2	74	83	86	1	NA
11	11	21	2	100	8	63	1	NA
11	11	22	2	93	91	75	1	NA
11	11	23	2	9	73	67	1	NA
11	11	24	2	62	63	53	1	NA
11	11	25	2	72	76	56	1	NA
11	11	26	2	60	86	57	1	NA
11	11	27	3	85	96	53	NA	1
11	11	28	3	76	91	67	NA	1
11	11	29	3	72	83	72	NA	1
